,Prompt,Activation Location,Activation Name,Magnitude,Token,LogMagnitude
163,,27,blocks.27.hook_resid_pre,tensor(207.0569),M,tensor(2.3161)
164,,27,blocks.27.hook_resid_pre,tensor(185.4183),ATS,tensor(2.2682)
165,,27,blocks.27.hook_resid_pre,tensor(169.8488), is,tensor(2.2301)
166,,27,blocks.27.hook_resid_pre,tensor(190.0349), really,tensor(2.2788)
167,,27,blocks.27.hook_resid_pre,tensor(188.3797), cool,tensor(2.2750)
168,,28,blocks.28.hook_resid_pre,tensor(4123.4429),<|endoftext|>,tensor(3.6153)
169,,28,blocks.28.hook_resid_pre,tensor(214.4095),M,tensor(2.3312)
170,,28,blocks.28.hook_resid_pre,tensor(190.3310),ATS,tensor(2.2795)
171,,28,blocks.28.hook_resid_pre,tensor(182.4131), is,tensor(2.2611)
172,,28,blocks.28.hook_resid_pre,tensor(199.8696), really,tensor(2.3007)
173,,28,blocks.28.hook_resid_pre,tensor(199.9216), cool,tensor(2.3009)
174,,29,blocks.29.hook_resid_pre,tensor(4132.5098),<|endoftext|>,tensor(3.6162)
175,,29,blocks.29.hook_resid_pre,tensor(222.6431),M,tensor(2.3476)
176,,29,blocks.29.hook_resid_pre,tensor(195.5204),ATS,tensor(2.2912)
177,,29,blocks.29.hook_resid_pre,tensor(190.9671), is,tensor(2.2810)
178,,29,blocks.29.hook_resid_pre,tensor(211.3360), really,tensor(2.3250)
179,,29,blocks.29.hook_resid_pre,tensor(213.7915), cool,tensor(2.3300)
180,,30,blocks.30.hook_resid_pre,tensor(4140.3369),<|endoftext|>,tensor(3.6170)
181,,30,blocks.30.hook_resid_pre,tensor(231.8108),M,tensor(2.3651)
182,,30,blocks.30.hook_resid_pre,tensor(202.0262),ATS,tensor(2.3054)
183,,30,blocks.30.hook_resid_pre,tensor(202.7912), is,tensor(2.3070)
184,,30,blocks.30.hook_resid_pre,tensor(221.5814), really,tensor(2.3455)
185,,30,blocks.30.hook_resid_pre,tensor(222.9871), cool,tensor(2.3483)
186,,31,blocks.31.hook_resid_pre,tensor(4146.4023),<|endoftext|>,tensor(3.6177)
187,,31,blocks.31.hook_resid_pre,tensor(242.8908),M,tensor(2.3854)
188,,31,blocks.31.hook_resid_pre,tensor(206.3319),ATS,tensor(2.3146)
189,,31,blocks.31.hook_resid_pre,tensor(217.2111), is,tensor(2.3369)
190,,31,blocks.31.hook_resid_pre,tensor(231.1161), really,tensor(2.3638)
191,,31,blocks.31.hook_resid_pre,tensor(233.3707), cool,tensor(2.3680)
192,,32,blocks.32.hook_resid_pre,tensor(4149.1953),<|endoftext|>,tensor(3.6180)
193,,32,blocks.32.hook_resid_pre,tensor(251.8122),M,tensor(2.4011)
194,,32,blocks.32.hook_resid_pre,tensor(211.1226),ATS,tensor(2.3245)
195,,32,blocks.32.hook_resid_pre,tensor(236.6764), is,tensor(2.3742)
196,,32,blocks.32.hook_resid_pre,tensor(246.0554), really,tensor(2.3910)
197,,32,blocks.32.hook_resid_pre,tensor(246.2793), cool,tensor(2.3914)
198,,33,blocks.33.hook_resid_pre,tensor(4150.0249),<|endoftext|>,tensor(3.6181)
199,,33,blocks.33.hook_resid_pre,tensor(261.7733),M,tensor(2.4179)
200,,33,blocks.33.hook_resid_pre,tensor(216.4117),ATS,tensor(2.3353)
201,,33,blocks.33.hook_resid_pre,tensor(260.3134), is,tensor(2.4155)
202,,33,blocks.33.hook_resid_pre,tensor(259.9576), really,tensor(2.4149)
203,,33,blocks.33.hook_resid_pre,tensor(256.4665), cool,tensor(2.4090)
204,,34,blocks.34.hook_resid_pre,tensor(4147.0063),<|endoftext|>,tensor(3.6177)
205,,34,blocks.34.hook_resid_pre,tensor(270.5996),M,tensor(2.4323)
206,,34,blocks.34.hook_resid_pre,tensor(220.6422),ATS,tensor(2.3437)
207,,34,blocks.34.hook_resid_pre,tensor(279.4561), is,tensor(2.4463)
208,,34,blocks.34.hook_resid_pre,tensor(273.8397), really,tensor(2.4375)
209,,34,blocks.34.hook_resid_pre,tensor(269.4507), cool,tensor(2.4305)
210,,35,blocks.35.hook_resid_pre,tensor(4139.2368),<|endoftext|>,tensor(3.6169)
211,,35,blocks.35.hook_resid_pre,tensor(283.1571),M,tensor(2.4520)
212,,35,blocks.35.hook_resid_pre,tensor(226.2285),ATS,tensor(2.3545)
213,,35,blocks.35.hook_resid_pre,tensor(297.5053), is,tensor(2.4735)
214,,35,blocks.35.hook_resid_pre,tensor(295.1867), really,tensor(2.4701)
215,,35,blocks.35.hook_resid_pre,tensor(284.4011), cool,tensor(2.4539)
216,,36,blocks.36.hook_resid_pre,tensor(4124.2251),<|endoftext|>,tensor(3.6153)
217,,36,blocks.36.hook_resid_pre,tensor(295.8782),M,tensor(2.4711)
218,,36,blocks.36.hook_resid_pre,tensor(229.9567),ATS,tensor(2.3616)
219,,36,blocks.36.hook_resid_pre,tensor(314.1327), is,tensor(2.4971)
220,,36,blocks.36.hook_resid_pre,tensor(310.1967), really,tensor(2.4916)
221,,36,blocks.36.hook_resid_pre,tensor(298.0797), cool,tensor(2.4743)
222,,37,blocks.37.hook_resid_pre,tensor(4105.5991),<|endoftext|>,tensor(3.6134)
223,,37,blocks.37.hook_resid_pre,tensor(309.0641),M,tensor(2.4900)
224,,37,blocks.37.hook_resid_pre,tensor(234.8992),ATS,tensor(2.3709)
225,,37,blocks.37.hook_resid_pre,tensor(338.9754), is,tensor(2.5302)
226,,37,blocks.37.hook_resid_pre,tensor(326.0918), really,tensor(2.5133)
227,,37,blocks.37.hook_resid_pre,tensor(313.8816), cool,tensor(2.4968)
228,,38,blocks.38.hook_resid_pre,tensor(4078.7993),<|endoftext|>,tensor(3.6105)
229,,38,blocks.38.hook_resid_pre,tensor(322.0815),M,tensor(2.5080)
230,,38,blocks.38.hook_resid_pre,tensor(240.5929),ATS,tensor(2.3813)
231,,38,blocks.38.hook_resid_pre,tensor(357.3796), is,tensor(2.5531)
232,,38,blocks.38.hook_resid_pre,tensor(339.7987), really,tensor(2.5312)
233,,38,blocks.38.hook_resid_pre,tensor(331.9279), cool,tensor(2.5210)
234,,39,blocks.39.hook_resid_pre,tensor(4036.9609),<|endoftext|>,tensor(3.6061)
235,,39,blocks.39.hook_resid_pre,tensor(332.3949),M,tensor(2.5217)
236,,39,blocks.39.hook_resid_pre,tensor(247.1076),ATS,tensor(2.3929)
237,,39,blocks.39.hook_resid_pre,tensor(377.9766), is,tensor(2.5775)
238,,39,blocks.39.hook_resid_pre,tensor(353.6207), really,tensor(2.5485)
239,,39,blocks.39.hook_resid_pre,tensor(347.7861), cool,tensor(2.5413)
240,,40,blocks.40.hook_resid_pre,tensor(3971.5120),<|endoftext|>,tensor(3.5990)
241,,40,blocks.40.hook_resid_pre,tensor(347.7734),M,tensor(2.5413)
242,,40,blocks.40.hook_resid_pre,tensor(252.3728),ATS,tensor(2.4020)
243,,40,blocks.40.hook_resid_pre,tensor(404.9748), is,tensor(2.6074)
244,,40,blocks.40.hook_resid_pre,tensor(374.8910), really,tensor(2.5739)
245,,40,blocks.40.hook_resid_pre,tensor(365.4476), cool,tensor(2.5628)
246,,41,blocks.41.hook_resid_pre,tensor(3835.9871),<|endoftext|>,tensor(3.5839)
247,,41,blocks.41.hook_resid_pre,tensor(360.2555),M,tensor(2.5566)
248,,41,blocks.41.hook_resid_pre,tensor(260.8124),ATS,tensor(2.4163)
249,,41,blocks.41.hook_resid_pre,tensor(437.6551), is,tensor(2.6411)
250,,41,blocks.41.hook_resid_pre,tensor(397.1135), really,tensor(2.5989)
251,,41,blocks.41.hook_resid_pre,tensor(391.4565), cool,tensor(2.5927)
252,,42,blocks.42.hook_resid_pre,tensor(3595.7788),<|endoftext|>,tensor(3.5558)
253,,42,blocks.42.hook_resid_pre,tensor(378.0550),M,tensor(2.5776)
254,,42,blocks.42.hook_resid_pre,tensor(269.4284),ATS,tensor(2.4304)
255,,42,blocks.42.hook_resid_pre,tensor(475.0832), is,tensor(2.6768)
256,,42,blocks.42.hook_resid_pre,tensor(424.6552), really,tensor(2.6280)
257,,42,blocks.42.hook_resid_pre,tensor(414.7414), cool,tensor(2.6178)
258,,43,blocks.43.hook_resid_pre,tensor(3215.7410),<|endoftext|>,tensor(3.5073)
259,,43,blocks.43.hook_resid_pre,tensor(398.3936),M,tensor(2.6003)
260,,43,blocks.43.hook_resid_pre,tensor(278.1696),ATS,tensor(2.4443)
261,,43,blocks.43.hook_resid_pre,tensor(502.3852), is,tensor(2.7010)
262,,43,blocks.43.hook_resid_pre,tensor(461.7171), really,tensor(2.6644)
263,,43,blocks.43.hook_resid_pre,tensor(441.4707), cool,tensor(2.6449)
264,,44,blocks.44.hook_resid_pre,tensor(2686.8162),<|endoftext|>,tensor(3.4292)
265,,44,blocks.44.hook_resid_pre,tensor(421.8837),M,tensor(2.6252)
266,,44,blocks.44.hook_resid_pre,tensor(291.1133),ATS,tensor(2.4641)
267,,44,blocks.44.hook_resid_pre,tensor(548.0656), is,tensor(2.7388)
268,,44,blocks.44.hook_resid_pre,tensor(493.0514), really,tensor(2.6929)
269,,44,blocks.44.hook_resid_pre,tensor(484.3312), cool,tensor(2.6851)
270,,45,blocks.45.hook_resid_pre,tensor(1958.8689),<|endoftext|>,tensor(3.2920)
271,,45,blocks.45.hook_resid_pre,tensor(455.4656),M,tensor(2.6585)
272,,45,blocks.45.hook_resid_pre,tensor(309.2485),ATS,tensor(2.4903)
273,,45,blocks.45.hook_resid_pre,tensor(639.7300), is,tensor(2.8060)
274,,45,blocks.45.hook_resid_pre,tensor(563.4636), really,tensor(2.7509)
275,,45,blocks.45.hook_resid_pre,tensor(562.5959), cool,tensor(2.7502)
276,,46,blocks.46.hook_resid_pre,tensor(1116.3422),<|endoftext|>,tensor(3.0478)
277,,46,blocks.46.hook_resid_pre,tensor(513.7615),M,tensor(2.7108)
278,,46,blocks.46.hook_resid_pre,tensor(332.8215),ATS,tensor(2.5222)
279,,46,blocks.46.hook_resid_pre,tensor(758.9786), is,tensor(2.8802)
280,,46,blocks.46.hook_resid_pre,tensor(634.4177), really,tensor(2.8024)
281,,46,blocks.46.hook_resid_pre,tensor(659.6865), cool,tensor(2.8193)
282,,47,blocks.47.hook_resid_pre,tensor(426.2302),<|endoftext|>,tensor(2.6296)
283,,47,blocks.47.hook_resid_pre,tensor(543.9261),M,tensor(2.7355)
284,,47,blocks.47.hook_resid_pre,tensor(352.6742),ATS,tensor(2.5474)
285,,47,blocks.47.hook_resid_pre,tensor(844.9137), is,tensor(2.9268)
286,,47,blocks.47.hook_resid_pre,tensor(661.2433), really,tensor(2.8204)
287,,47,blocks.47.hook_resid_pre,tensor(706.0174), cool,tensor(2.8488)
