,Prompt,Activation Location,Activation Name,Magnitude
47,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,66.6466
48,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,61.244164
49,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,62.621857
50,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,60.864162
51,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,61.991932
52,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,77.73119
53,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,66.96756
54,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,70.18074
55,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,60.294785
56,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,56.80389
57,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,62.200832
58,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,67.76664
59,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,58.816242
60,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,84.50238
61,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,72.178665
62,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,57.512142
63,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,60.272026
64,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,71.09414
65,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,59.035923
66,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,76.763245
67,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,59.651882
68,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,88.701546
69,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,96.650856
70,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,86.03788
71,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,68.45912
72,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,78.92004
73,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,77.82952
74,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,69.39036
75,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,91.09144
76,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,66.0524
77,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,68.18801
78,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,65.27169
79,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,63.77998
80,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,69.5196
81,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,61.857178
82,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,64.59587
83,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,60.348774
84,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,60.18089
85,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,81.51744
86,"Artificial intelligence is transforming industries and reshaping the way we live, work, and interact.",5,blocks.5.hook_resid_pre,63.155075
87,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,98.743385
88,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,82.24534
89,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,71.608536
90,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,65.62115
91,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,67.46816
92,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,67.503334
93,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,63.572277
94,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,70.35903
95,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,68.777084
96,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,64.66172
97,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,63.219643
98,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,59.31447
99,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,61.22648
100,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,60.106056
101,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,60.51046
102,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,63.283928
103,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,63.317734
104,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,71.88383
105,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,67.722374
106,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,57.72094
107,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,73.81303
108,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,61.84626
109,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,83.69307
110,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,79.8312
111,"Climate change is one of the most pressing issues of our time, and we must take immediate action to reduce our carbon footprint.",5,blocks.5.hook_resid_pre,64.17475
112,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,92.83441
113,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,77.74389
114,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,70.20504
115,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,84.847115
116,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,80.33009
117,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,67.70641
118,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,69.01802
119,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,62.86635
120,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,64.19132
121,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,68.77771
122,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,72.151024
123,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,61.44759
124,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,94.453705
125,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,66.24029
126,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,63.267193
127,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,81.899025
128,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,60.76102
129,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,70.04181
130,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,78.40995
131,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,59.371735
132,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,61.857037
133,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,63.389004
134,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,59.354065
135,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,81.17335
136,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,70.74394
137,"The rise of electric vehicles has led to an increased demand for lithium-ion batteries, driving innovation in the field of battery technology.",5,blocks.5.hook_resid_pre,63.799786
138,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,92.83441
139,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,95.50357
140,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,82.39751
141,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,70.76709
142,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,72.689644
143,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,78.95943
144,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,65.18394
145,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,74.74932
146,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,67.47768
147,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,77.46529
148,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,67.662254
149,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,59.19401
150,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,76.19579
151,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,63.277565
152,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,71.05525
153,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,75.43321
154,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,70.23729
155,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,62.951126
156,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,61.21409
157,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,82.09204
158,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,73.997314
159,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,83.68467
160,"The blockchain technology has the potential to revolutionize industries such as finance, supply chain management, and digital identity verification.",5,blocks.5.hook_resid_pre,64.95624
161,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,93.13371
162,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,72.7811
163,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,80.095894
164,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,68.591934
165,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,92.041176
166,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,64.5157
167,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,64.9182
168,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,65.69237
169,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,85.955246
170,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,82.61193
171,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,78.68956
172,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,77.84877
173,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,62.926746
174,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,69.68632
175,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,74.37305
176,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,63.001522
177,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,64.70014
178,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,80.30716
179,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,66.287025
180,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,60.43967
181,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,62.018925
182,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,80.70502
183,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,59.803833
184,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,84.1651
185,CRISPR-Cas9 is a groundbreaking gene editing technology that allows scientists to make precise changes to an organism's DNA.,5,blocks.5.hook_resid_pre,63.594166
186,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,100.54848
187,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,71.95067
188,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,89.02675
189,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,75.954895
190,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,67.27866
191,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,78.46045
192,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,71.64131
193,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,63.335773
194,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,64.308426
195,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,71.79142
196,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,76.656296
197,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,74.78244
198,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,65.18826
199,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,62.084415
200,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,88.00306
201,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,78.14291
202,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,63.109314
203,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,65.8924
204,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,59.39143
205,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,63.03995
206,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,64.97112
207,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,64.565865
208,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,59.779957
209,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,65.47534
210,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,59.61943
211,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,91.927124
212,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,60.571503
213,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,71.699005
214,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,72.70122
215,"Quantum computing promises to solve problems that are currently intractable for classical computers, opening up new frontiers in fields like cryptography and materials science.",5,blocks.5.hook_resid_pre,64.46408
216,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,100.00981
217,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,92.63451
218,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,73.19
219,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,96.96183
220,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,83.45582
221,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,67.80454
222,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,81.09626
223,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,71.07356
224,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,65.950714
225,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,62.653236
226,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,76.26783
227,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,64.412796
228,Virtual reality and augmented reality are transforming the way we experience and interact with digital content.,5,blocks.5.hook_resid_pre,88.91648
